date,close,diff,open,high,low,volume
2019-06-05,6950,20,7060,7070,6940,154218
2019-06-07,7040,90,6960,7080,6960,117280
2019-06-10,7100,60,7070,7130,7040,175980
2019-06-11,7270,170,7090,7300,7090,242572
2019-06-12,7190,80,7280,7330,7110,222718
2019-06-13,7270,80,7170,7290,7140,177491
2019-06-14,7250,20,7270,7500,7190,497988
2019-06-17,7100,150,7210,7250,7090,184124
2019-06-18,7110,10,7100,7170,7040,153857
2019-06-19,7090,20,7130,7170,7010,309386
2019-06-20,7220,130,7100,7310,7090,217161
2019-06-21,7110,110,7220,7260,7110,155180
2019-06-24,7100,10,7090,7120,7030,183575
2019-06-25,6980,120,7070,7280,6980,417217
2019-06-26,7000,20,6980,7080,6970,177749
2019-06-27,6870,130,7050,7050,6860,272574
2019-06-28,6720,150,6830,6900,6720,228430
2019-07-01,6870,150,6720,6900,6720,158692
2019-07-02,6920,50,6800,6950,6800,122214
2019-07-03,6800,120,6920,6950,6770,197628
2019-07-04,6690,110,6790,6820,6530,310745
2019-07-05,6740,50,6620,6750,6620,113870
2019-07-08,6440,300,6690,6780,6440,223145
2019-07-09,6210,230,6400,6520,6210,241591
2019-07-10,6300,90,6170,6370,6170,126779
2019-07-11,6390,90,6300,6420,6280,113360
2019-07-12,6450,60,6390,6470,6380,79595
2019-07-15,6350,100,6400,6450,6310,114852
2019-07-16,6400,50,6340,6500,6290,145635
2019-07-17,6440,40,6370,6500,6340,160046
2019-07-18,6420,20,6450,6490,6410,97744
2019-07-19,6510,90,6440,6530,6420,113681
2019-07-22,6500,10,6460,6570,6420,88028
2019-07-23,6420,80,6500,6560,6420,118135
2019-07-24,6420,0,6390,6830,6360,518265
2019-07-25,6450,30,6490,6510,6350,189719
2019-07-26,6410,40,6420,6530,6370,135654
2019-07-29,6000,410,6410,6480,6000,368507
2019-07-30,6000,0,5890,6150,5890,195236
2019-07-31,6180,180,5970,6190,5850,194136
2019-08-01,6250,70,6180,6310,6140,120311
2019-08-02,6120,130,6090,6250,6000,165894
2019-08-05,5420,700,6060,6120,5420,596476
