date,close,diff,open,high,low,volume
2019-10-25,251000,1500,247500,251500,246500,153784
2019-10-28,257000,6000,256500,260000,254000,284317
2019-10-29,257000,0,259500,262000,256000,288527
2019-10-30,256500,500,258000,261500,256000,295035
2019-10-31,258500,2000,257000,264000,254500,328344
2019-11-01,263000,4500,258500,263000,258000,204787
2019-11-04,268000,5000,264500,269000,264000,171705
2019-11-05,267500,500,268500,269000,266000,222141
2019-11-06,268000,500,266500,269000,266000,184380
2019-11-07,268000,0,267000,269000,265500,161469
2019-11-08,268500,500,267000,269000,266000,136822
2019-11-11,270000,1500,268000,271500,267500,149397
2019-11-12,269000,1000,271000,271000,268500,168608
2019-11-13,263000,6000,268000,269500,261500,257602
2019-11-14,267000,4000,263500,267000,262500,265621
2019-11-15,270000,3000,265000,270000,265000,198430
2019-11-18,275000,5000,270000,275000,269500,185370
2019-11-19,272500,2500,274500,276500,272500,222226
2019-11-20,272000,500,271500,274500,268500,210122
2019-11-21,271000,1000,271000,273000,268500,194908
2019-11-22,258000,13000,276000,278000,255500,509755
2019-11-25,262000,4000,263500,265000,258500,247512
2019-11-26,266000,4000,262500,267500,262000,341564
2019-11-27,260000,6000,268000,268500,258000,262649
2019-11-28,260000,0,257000,260500,257000,146692
2019-11-29,257500,2500,261000,261000,257000,166462
2019-12-02,256000,1500,256000,257500,251000,161598
2019-12-03,256000,0,255000,257000,251500,113344
2019-12-04,253500,2500,255000,257000,252000,145075
2019-12-05,250500,3000,252500,256000,248500,154954
2019-12-06,257000,6500,251500,258000,251500,138321
2019-12-09,260000,3000,256500,261500,255500,110105
2019-12-10,261000,1000,257500,263500,257500,120565
2019-12-11,259000,2000,261000,262500,258500,127158
2019-12-12,259500,500,263000,263000,259000,173560
2019-12-13,258500,1000,262500,264000,257500,120681
2019-12-16,260000,1500,261500,261500,258500,86140
2019-12-17,256500,3500,258500,259500,255500,137591
2019-12-18,256500,0,256500,257500,254500,109632
2019-12-19,257000,500,255500,258000,252500,107033
2019-12-20,258500,1500,258000,259500,256000,95196
2019-12-23,261500,3000,261500,263500,256500,92109
2019-12-24,262000,500,260500,262500,260500,70410
2019-12-26,262500,500,264000,264000,261000,412790
2019-12-27,262500,0,259000,264500,256500,122918
2019-12-30,262000,500,263000,263000,260000,67905
2020-01-02,258000,4000,262500,263000,257000,81386
2020-01-03,256500,1500,258500,259500,253000,115357
2020-01-06,251000,5500,253500,255500,250000,78191
2020-01-07,257000,6000,251000,257500,250500,93523
2020-01-08,244500,12500,252000,252000,243500,175476
2020-01-09,247000,2500,245500,250000,245000,167376
2020-01-10,246000,1000,244500,248000,244000,157335
2020-01-13,246500,500,245500,247000,243000,111378
2020-01-14,248000,1500,247000,249500,246000,140742
2020-01-15,245500,2500,246500,247000,244500,155252
2020-01-16,244000,1500,246000,246000,242000,90656
2020-01-17,245000,1000,244000,247000,243000,138322
2020-01-20,240500,4500,244000,244500,240000,137156
2020-01-21,240500,0,239500,243500,239000,86584
2020-01-22,241000,500,243000,243000,239500,50458
2020-01-23,241000,0,239000,241000,236000,115919
2020-01-28,231000,10000,236000,241000,230500,136552
2020-01-29,234500,3500,231500,236500,230000,157541
2020-01-30,240500,6000,234500,244000,234500,266582
2020-01-31,235500,5000,243500,243500,235500,121946
2020-02-03,231500,4000,232500,234500,230500,133268
2020-02-04,232500,1000,230500,236500,230500,176205
2020-02-05,237000,4500,234000,240500,233000,284103
2020-02-06,242500,5500,240000,243500,238000,722006
2020-02-07,239000,3500,240000,242000,237500,101496
2020-02-10,235000,4000,236500,236500,232500,88621
2020-02-11,238000,3000,236500,238500,235000,78976
2020-02-12,236000,2000,236000,237000,233000,100584
2020-02-13,234000,2000,235000,237500,234000,140090
2020-02-14,232000,2000,233000,236000,231500,104123
2020-02-17,228000,4000,230500,231500,227000,137725
2020-02-18,223500,4500,228500,228500,222000,117727
2020-02-19,223500,0,226500,227500,222000,87032
2020-02-20,216500,7000,223500,224500,216500,158477
2020-02-21,212500,4000,211500,218000,211000,123940
2020-02-24,202000,10500,209000,209500,201000,246357
2020-02-25,206000,4000,200500,208500,200500,177839
2020-02-26,203000,3000,200000,206500,200000,161591
2020-02-27,200500,2500,203000,206500,199000,160934
2020-02-28,192000,8500,198000,200000,190500,231899
2020-03-02,191000,1000,192000,194000,190500,181793
2020-03-03,191500,500,193000,196500,191000,214940
2020-03-04,197000,5500,192500,199000,192000,272260
2020-03-05,200500,3500,199000,202000,196500,279705
2020-03-06,194500,6000,198000,198000,193000,207481
2020-03-09,184000,10500,189000,189000,182000,267208
2020-03-10,180500,3500,182000,184500,180000,305611
2020-03-11,175000,5500,181000,184000,173500,253768
2020-03-12,164000,11000,174000,174500,161500,413438
2020-03-13,158000,6000,150000,160000,144500,443950
2020-03-16,145500,12500,157000,160000,145000,275952
2020-03-17,138000,7500,138000,144000,135500,306127
2020-03-18,124000,14000,139000,140000,124000,387932
2020-03-19,107000,17000,125500,126500,102500,541476
2020-03-20,121500,14500,113000,121500,107000,444841
2020-03-23,108000,13500,109000,113500,107000,336085
2020-03-24,134000,26000,113000,138500,109500,771510
2020-03-25,150500,16500,140000,161500,137500,771051
2020-03-26,154500,4000,153000,159500,143000,664819
2020-03-27,161500,7000,162000,164000,156000,465790
2020-03-30,160000,1500,155500,163000,150500,305864
2020-03-31,167500,7500,162000,167500,160500,342668
2020-04-01,161000,6500,163500,173000,158500,344349
2020-04-02,165000,4000,161000,167000,155500,289337
2020-04-03,164000,1000,166000,171000,160000,230824
2020-04-06,168000,4000,164500,169000,163000,210046
2020-04-07,169500,1500,171000,173000,165000,222197
2020-04-08,168000,1500,166000,172500,165000,220330
2020-04-09,171000,3000,173000,173000,168000,182069
2020-04-10,179000,8000,169500,180000,168500,279238
2020-04-13,175000,4000,179500,187000,174500,278323
2020-04-14,177500,2500,177000,182000,175000,172526
2020-04-16,180500,3000,173500,181000,172500,222040
2020-04-17,188500,8000,183500,191000,183500,244505
2020-04-20,188000,500,187000,191500,186000,151164
2020-04-21,183000,5000,185500,187500,178500,331631
2020-04-22,184000,1000,178000,184000,173500,286549
2020-04-23,182500,1500,181500,184000,179000,208459
2020-04-24,175500,7000,180500,181000,175000,198776
2020-04-27,178500,3000,176000,180500,175000,114428
2020-04-28,183000,4500,178500,183000,176500,167841
2020-04-29,182000,1000,183000,183500,181000,141362
2020-05-04,176000,6000,176500,179500,175500,173641
2020-05-06,180000,4000,179000,181500,177000,177000
2020-05-07,182000,2000,179000,182000,178000,163688
2020-05-08,182500,500,183000,186500,182000,141027
2020-05-11,179000,3500,182000,184000,178500,168343
2020-05-12,181000,2000,181000,184000,178000,260409
2020-05-13,185000,4000,179500,185000,178500,247454
2020-05-14,181000,4000,184000,185500,180000,226278
2020-05-15,182000,1000,183500,184500,180000,168516
2020-05-18,202000,20000,184000,203500,181500,630281
2020-05-19,201500,500,214500,230000,200500,1218185
2020-05-20,222000,20500,208000,224500,205000,1317938
2020-05-21,230000,8000,230000,243500,226000,1321635
2020-05-22,228500,1500,229500,232000,225000,433120
2020-05-25,246500,18000,234000,246500,230500,737103
2020-05-26,259000,12500,249500,261500,245000,763255
2020-05-27,255500,3500,267500,271000,251000,774630
2020-05-28,244500,11000,257500,260000,243500,675566
2020-05-29,239000,5500,241500,249000,236500,603576
2020-06-01,243000,4000,240000,247000,239000,362051
2020-06-02,244000,1000,242000,249500,240000,297667
2020-06-03,242500,1500,247500,247500,239000,399539
2020-06-04,239500,3000,241500,244000,239000,294371
2020-06-05,257000,17500,237500,258500,233500,871235
2020-06-08,257000,0,264000,264500,253000,521272
2020-06-09,253500,3500,257500,259000,249000,424430
2020-06-10,257000,3500,253500,261000,250500,410736
2020-06-11,257000,0,255000,262500,253000,580692
2020-06-12,279000,22000,246000,279000,245000,1298434
2020-06-15,304000,25000,289000,329500,285500,4331754
2020-06-16,307000,3000,327500,332000,300000,2040226
2020-06-17,318000,11000,309000,323000,307500,1511616
2020-06-18,308500,9500,318000,320500,305000,893966
2020-06-19,293000,15500,316000,317500,289500,1451060
2020-06-22,293000,0,294500,302000,290500,796400
2020-06-23,309500,16500,298000,310000,284500,1550365
2020-06-24,286500,23000,297500,302500,285500,3591128
2020-06-25,286000,500,287000,293500,281000,921229
2020-06-26,292000,6000,291000,294500,284000,919125
2020-06-29,293000,1000,289500,297500,286000,921514
2020-06-30,291000,2000,297500,298500,286500,925711
